River Flow Rate (m³/s),Temperature Drop (ΔT) (°C),Heat Extraction Potential (kWh),COP (Coefficient of Performance),Heat Pump Output (kWh)
36.3,3,1638727199.9999998,4,6554908799.999999
21.41,3,966533040.0000001,4,3866132160.0000005
47.72,3,2154271679.9999995,4,8617086719.999998
49.31,3,2226050640.0,4,8904202560.0
33.58,3,1515935519.9999998,4,6063742079.999999
47.12,3,2127185279.9999998,4,8508741119.999999
43.73,3,1974147119.9999998,4,7896588479.999999
33.54,3,1514129760.0,4,6056519040.0
13.3,3,600415200.0,4,2401660800.0
42.64,3,1924940160.0,4,7699760640.0
35.38,3,1597194720.0,4,6388778880.0
41.05,3,1853161199.9999998,4,7412644799.999999
43.78,3,1976404320.0000002,4,7905617280.000001
43.93,3,1983175919.9999998,4,7932703679.999999
27.94,3,1261323360.0000002,4,5045293440.000001
30.58,3,1380503519.9999998,4,5522014079.999999
48.64,3,2195804160.0,4,8783216640.0
22.93,3,1035151920.0,4,4140607680.0
16.88,3,762030719.9999999,4,3048122879.9999995
33.74,3,1523158560.0000002,4,6092634240.000001
13.53,3,610798319.9999999,4,2443193279.9999995
31.72,3,1431967680.0,4,5727870720.0
13.13,3,592740720.0,4,2370962880.0
34.27,3,1547084880.0000002,4,6188339520.000001
38.49,3,1737592560.0000002,4,6950370240.000001
14.47,3,653233680.0000001,4,2612934720.0000005
43.19,3,1949769360.0,4,7799077440.0
30.67,3,1384566480.0000002,4,5538265920.000001
24.97,3,1127245680.0,4,4508982720.0
26.47,3,1194961680.0,4,4779846720.0
37.52,3,1693802880.0000002,4,6775211520.000001
10.18,3,459565920.0,4,1838263680.0
38.22,3,1725403680.0,4,6901614720.0
25.37,3,1145303280.0,4,4581213120.0
21.97,3,991813680.0,4,3967254720.0
14.58,3,658199520.0,4,2632798080.0
31.27,3,1411652880.0,4,5646611520.0
34.87,3,1574171280.0,4,6296685120.0
25.06,3,1131308639.9999998,4,4525234559.999999
21.62,3,976013280.0,4,3904053120.0
40.35,3,1821560400.0,4,7286241600.0
15.92,3,718692480.0,4,2874769920.0
11.87,3,535859279.99999994,4,2143437119.9999998
26.88,3,1213470720.0,4,4853882880.0
30.79,3,1389983760.0,4,5559935040.0
45.02,3,2032382880.0000002,4,8129531520.000001
40.59,3,1832394960.0000002,4,7329579840.000001
48.57,3,2192644080.0,4,8770576320.0
34.62,3,1562885280.0,4,6251541120.0
39.46,3,1781382240.0,4,7125528960.0
42.57,3,1921780080.0000002,4,7687120320.000001
44.31,3,2000330640.0,4,8001322560.0
20.52,3,926354880.0,4,3705419520.0
48.2,3,2175940800.0,4,8703763200.0
35.61,3,1607577839.9999998,4,6430311359.999999
40.02,3,1806662880.0000002,4,7226651520.000001
28.89,3,1304210160.0000002,4,5216840640.000001
37.93,3,1712311920.0,4,6849247680.0
14.87,3,671291280.0,4,2685165120.0
31.05,3,1401721200.0,4,5606884800.0
42.6,3,1923134400.0,4,7692537600.0
15.53,3,701086319.9999999,4,2804345279.9999995
22.56,3,1018448639.9999999,4,4073794559.9999995
13.07,3,590032080.0000001,4,2360128320.0000005
11.67,3,526830479.99999994,4,2107321919.9999998
23.02,3,1039214880.0,4,4156859520.0
19.32,3,872182080.0000001,4,3488728320.0000005
40.62,3,1833749280.0,4,7334997120.0
13.41,3,605381040.0,4,2421524160.0
11.15,3,503355600.0,4,2013422400.0
34.24,3,1545730560.0000002,4,6182922240.000001
31.16,3,1406687040.0,4,5626748160.0
41.45,3,1871218800.0000002,4,7484875200.000001
37.72,3,1702831680.0,4,6811326720.0
10.53,3,475366319.99999994,4,1901465279.9999998
37.28,3,1682968320.0,4,6731873280.0
32.16,3,1451831039.9999998,4,5807324159.999999
16.15,3,729075599.9999999,4,2916302399.9999995
46.08,3,2080235519.9999998,4,8320942079.999999
35.34,3,1595388960.0000002,4,6381555840.000001
13.12,3,592289280.0,4,2369157120.0
39.78,3,1795828320.0,4,7183313280.0
33.9,3,1530381600.0,4,6121526400.0
47.3,3,2135311200.0,4,8541244800.0
35.13,3,1585908720.0,4,6343634880.0
40.93,3,1847743920.0,4,7390975680.0
49.51,3,2235079440.0,4,8940317760.0
37.42,3,1689288480.0000002,4,6757153920.000001
36.99,3,1669876560.0000002,4,6679506240.000001
13.91,3,627953040.0,4,2511812160.0
18.12,3,818009280.0000001,4,3272037120.0000005
35.88,3,1619766720.0,4,6479066880.0
15.58,3,703343520.0,4,2813374080.0
39.82,3,1797634080.0,4,7190536320.0
33.05,3,1492009199.9999998,4,5968036799.999999
34.08,3,1538507519.9999998,4,6154030079.999999
47.73,3,2154723120.0,4,8618892480.0
17.09,3,771510960.0,4,3086043840.0
12.38,3,558882720.0,4,2235530880.0
31.98,3,1443705120.0,4,5774820480.0
45.27,3,2043668880.0000002,4,8174675520.000001
30.25,3,1365606000.0,4,5462424000.0
32.53,3,1468534320.0,4,5874137280.0
45.23,3,2041863119.9999998,4,8167452479.999999
44.62,3,2014325279.9999998,4,8057301119.999999
16.42,3,741264480.0000001,4,2965057920.0000005
